N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;11;Mme MANGANO Flavia;30
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;12;M. ASSIE Frédéric;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;13;Mme BRISSAUD Anne;29
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;14;Mme YAGUE Annie;131
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;15;Mme DEFRETIN Sophie;31
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;16;M. LECHAT Philippe;5
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;1;M. BENALI Mahfoud;11
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;2;Mme OZIOL Nathalie;307
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;3;Mme ZBAIRI Kadija;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;5;M. MICHEL Didier;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;6;Mme BELLAREDJ Fatima;75
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;7;Mme RESSIGUIER Muriel;28
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;8;M. DALMAU Flavio;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;10;Mme BRIOT Valérie;9
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;11;Mme MANGANO Flavia;37
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;12;M. ASSIE Frédéric;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;13;Mme BRISSAUD Anne;25
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;14;Mme YAGUE Annie;117
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;15;Mme DEFRETIN Sophie;47
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;8;Ecole élémentaire Gambetta;2;05;1317;679;1;8;670;46;16;M. LECHAT Philippe;7
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;1;M. BENALI Mahfoud;15
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;2;Mme OZIOL Nathalie;430
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;3;Mme ZBAIRI Kadija;8
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;5;M. MICHEL Didier;8
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;6;Mme BELLAREDJ Fatima;86
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;7;Mme RESSIGUIER Muriel;47
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;8;M. DALMAU Flavio;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;10;Mme BRIOT Valérie;8
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;11;Mme MANGANO Flavia;37
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;12;M. ASSIE Frédéric;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;13;Mme BRISSAUD Anne;18
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;14;Mme YAGUE Annie;97
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;15;Mme DEFRETIN Sophie;21
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;9;Ecole élémentaire Sévigné;2;05;1458;801;4;7;790;59;16;M. LECHAT Philippe;10
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;1;M. BENALI Mahfoud;17
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;2;Mme OZIOL Nathalie;373
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;3;Mme ZBAIRI Kadija;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;5;M. MICHEL Didier;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;6;Mme BELLAREDJ Fatima;68
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;7;Mme RESSIGUIER Muriel;31
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;10;Ecole élémentaire Sévigné;2;05;1462;681;1;5;675;41;8;M. DALMAU Flavio;4
